Date,Customer ID,Name,Job ID,Job Description,Account ID,Account Description,Invoice/CM No,Line Description,Purchase Order No,Amount,,,
2/12/19,GPI,"GPI International, Inc.",37700981,3-981,41100-5000,Sales - Invoiced - SP,IN4368,50% upon notification of readiness to ship - Line item 1,071100-3770,"-105,000.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 10: 70085-1010-328 Speed Probe,450057672,"-1,050.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 20: SST-2200H-19 Speed Switch Transmitter,450057672,"-1,680.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 30: D-RTD-14-LT-05-72-2A Temperature Sensor,450057672,-210.00,,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 40: SS-400-1-8BT Temperature Element Mounting,450057672,-210.00,,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 50: T-400-SET Compression Fitting,450057672,-210.00,,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 60: 990-05-50-01-05 Vibration Transmitter,450057672,"-1,890.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 70: 330909-10-45-10-11-05 Mod#165449 Vibration Probe,450057672,"-1,890.00",,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 80: 330930-040-05-05 Vibration Armored Extension Cable,450057672,-924.00,,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,SP,41100-5000,Sales - Invoiced - SP,IN4374,Line 90: F21NUS-624 Vibration Probe Seal Nut,450057672,-210.00,,,
2/27/19,OGDCL,Oil & Gas Development Company Limited,37701015,3-1015,41100-5000,Sales - Invoiced - SP,IN4380,Procurement of spares for Turbo Expander Compressor (See quotation 67702912),3009/768999/2018,"-70,113.00",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701074,3-1074,41100-5000,Sales - Invoiced - SP,IN4384,50% upon acceptance PO.,TAR73744,"-33,376.00",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701075,3-1075,41100-5000,Sales - Invoiced - SP,IN4385,50% upon PO acceptance,TAR73967,"-33,588.50",,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701071,SP,41100-5000,Sales - Invoiced - SP,IN4386,MCS Install Kit,TAR72778,"-5,715.00",,,
2/28/19,Summit,Summit Midstream,87700504,FR,49100-4000,Freight Receipts - FS,IN4383,Shipping for lost parts,PERM-000523,-83.84,,,
2/7/19,LAT Europe Belgium,LAT Europe,37701027,FR,49100-5000,Freight Receipts - SP,IN4364,Freight charge,FNRLATE1806,-442.45,,,
2/7/19,LAT Europe Belgium,LAT Europe,37701027,FR,49100-5000,Freight Receipts - SP,IN4364,Duty charge,FNRLATE1806,-520.28,,,
2/15/19,Tesoro,Tesoro Logistics Operations LLC,37701038,FR,49100-5000,Freight Receipts - SP,IN4374,Freight Charge,450057672,-15.04,,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701071,FR,49100-5000,Freight Receipts - SP,IN4386,Freight charges,TAR72778,-102.00,,,
2/28/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,FS,41100-4000,Sales - Invoiced - FS,02-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),,"-326,938.99",,,
1/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,FS,41100-4000,Sales - Invoiced - FS,01-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-01/31/19),,"131,065.04",,,
1/31/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700498,OT,49800-4000,Other Operating Income - FS,01-07I -  Targa Trai,Classroom Turboexpander-compressor training,,"3,750.00",,,
3/5/19,Exelon,Exelon Corporation,,,11100-0000,AR - Trade,IN4390,Exelon Corporation,01256549,"57,000.00",,,
3/5/19,Midcoast Energy,Midcoast Energy LLC,,,11100-0000,AR - Trade,IN4391,Midcoast Energy LLC,MEP LOB91212 CC91444,"4,869.48",,,
3/6/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4392,Targa Pipeline Mid-Continent WestTexLLC,TAR78102,"34,772.50",,,
3/8/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4381,LAT Europe,FNRLATE1783,"60,000.00",,,
3/12/19,Plains Gas,Plains Gas Solutions,,,11100-0000,AR - Trade,IN4393,Plains Gas Solutions,WO 37335,"22,968.75",,,
3/12/19,Plains Gas,Plains Gas Solutions,,,11100-0000,AR - Trade,IN4394,Plains Gas Solutions,WO 37335,"13,781.25",,,
